invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_50b5bfb1e497422a88147839cdf88b9c,job_1d0a6cd6cdfa4015a26d315a595b5341,5156,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_ebce30a25fb64ef98268d551784828f7,job_9bb2ed7aa0a14d3692a5f7e49553ffaf,5155,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_ebce30a25fb64ef98268d551784828f7,job_9bb2ed7aa0a14d3692a5f7e49553ffaf,5155,Service Calls - Repairs & Part Installation - Tier 3 Repair - Capacitor Replacement,labor,1.0,165.0,165.0
invoice_6cb423c8013c42ebb891547bffb9873f,job_db965ae0bf5e434f986aab87b16755e2,5154,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_6cb423c8013c42ebb891547bffb9873f,job_db965ae0bf5e434f986aab87b16755e2,5154,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_5deaba8c8f9746278cea6fb120734fb9,job_e824302bea744c6aaa87af9d6b4b6075,5153,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_5deaba8c8f9746278cea6fb120734fb9,job_e824302bea744c6aaa87af9d6b4b6075,5153,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_881962a2e44c44059077a96951f81d45,job_be78ba5d9f554361afc2c59b4879d788,5152,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_881962a2e44c44059077a96951f81d45,job_be78ba5d9f554361afc2c59b4879d788,5152,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_8dbc5cd102634da6927442b53f6aeb9a,job_e08f5b101f8541f0be38c3a4c4821dc5,5151,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_8dbc5cd102634da6927442b53f6aeb9a,job_e08f5b101f8541f0be38c3a4c4821dc5,5151,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_ac38340c143742acae1fe02f8219fd12,job_d97d45bf9b904f5cb042901d70ea410f,5150,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,Service Calls - Repairs & Part Installation - Tier 7 Repair,labor,1.0,946.0,946.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,Service Calls - Repairs & Part Installation - Tier 3 Repair - Capacitor Replacement,labor,1.0,165.0,165.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,Generic Parts / Service - R410a refrigerant,material,7.0,132.0,924.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,Generic Parts / Service - Filter dryer,material,1.0,103.0,103.0
invoice_1969125c97164f7ea813feac8de372eb,job_bb1c9e727ed6492987b939ca2b0e3a35,5149,WARRANTY Parts / Service - WARRANTY - Compressor,material,1.0,0.0,0.0
invoice_d139aaac71cc4e8ebbf8ba393d04e5f2,job_7daf0aea664e4c688054cdfa915c2168,5148,Service & Repair Fee - After-Hours,labor,1.0,167.0,167.0
invoice_d139aaac71cc4e8ebbf8ba393d04e5f2,job_7daf0aea664e4c688054cdfa915c2168,5148,Service Calls - Repairs & Part Installation - Tier 3 Repair - Capacitor Replacement,labor,1.0,165.0,165.0
invoice_f1d3d66515584ead80b713a75d20d623,job_e1d47e9f35eb4fce8645e00d891a3df8,5147,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
